,Doctor Name,Specialty,Overall Rating,No. of Reviews,Reviews,Review Rating
43,Dr. Bertrand P. Roche,Family Doctor / G.P.,4.52,7,"I have been a patient of Dr. Felstead's since 1998.  90% of the time I see him directly, even when I am sick. If I have a medical issue or am sick and I need to be seen that day, the staff always finds space for me. With the second office, many times I see Dr. Felstead. I can not stress enough what an excellent doctor he is.  Not once did I feel rushed or that he didn't care about my problems or me as a person. I have read all the other comments that people wrote. He believes in God. I think that helps him as a physician and if he suggests you might need Jesus in your life, that is part of Dr. Felstead's healing process for you. He uses every tool that has been given him to help heal his patients. This man is the best Dr. I have ever been too. I am 61 years old. Thank you, Doc. For all your help getting and keeping me healthy.  ( and no, you can not have my blood lol).",4.75
44,Dr. Bertrand P. Roche,Family Doctor / G.P.,4.52,7,Love Dr Felstead so hard to see him. He needs new office staff manager. Rude inefficient give wrong dates. Had papers from last visit with date  they put wrong date in computer. Made me come back 2 weeks later. As much as I hate the thought. I am looking for new Dr he's to stretched. . Been a patient since 1997 sad state of affairs. When you can never see your Dr. ,3.00
45,Dr. Bertrand P. Roche,Family Doctor / G.P.,4.52,7,Laughed off my depression and anxiety.  I wish he was pleased to be here.,1.75
46,Dr. Bertrand P. Roche,Family Doctor / G.P.,4.52,7,Staff needs work.  Doctor was professional and helpful.,3.75
47,Dr. Bertrand P. Roche,Family Doctor / G.P.,4.52,7,Rude. Doesn't look at you when he talks. Spends most of his time typing into the laptop he brings in the office. makes you wonder if he is really listening to what you are saying. However the Staff at the office is nice.,2.75
48,Dr. Bertrand P. Roche,Family Doctor / G.P.,4.52,7,Rude staff never can see dr Felstead  takes a month to get an apt why have a doctor,2.00
49,Dr. Bertrand P. Roche,Family Doctor / G.P.,4.52,7,"I have no issues with Dr Felstead himself. But his office staff is HORRIBLE. Rude, mess up appointment times and to somehow your fault, and good luck making an appointment! They have too many patients and inept staff. He should abandon ship and start over somewhere new. But for now, after being a patient of his for over 10 years and unable to make a sick appointment AGAIN, I find myself at immediate care. What is the point of having a primary you can't even get in to see?",2.00
50,Dr. Bertrand P. Roche,Family Doctor / G.P.,4.52,7,"My father started seeing doctor Felstead when he first started out at dent tower (I believe).  I have been seeing him now for roughly 13 years now and i am male 23 years of age.  I cannot stress how good of a man this guy is, he will always listen and work with you if your willing to try.  He has concerns about my health as if he was a family member.  I feel like i have a personal yet professional relationship with him which means alot to me.  He is a strong believer in Jesus Christ and i haven't necessarily found my faith yet but he will discuss this matter with me as well if i bring it up.  Overall he cares, you can tell it just by his presence.  However they have grown from one building to 3 locations making in my opinion primary care the best doctors offices i have ever visited.  The nurses 9 out of 10 times are very friendly and knowledgeable.  With growth comes demand and issues like things falling through the cracks.  Still, he remains the best doctor i have ever had.",5.00
51,Dr. Bertrand P. Roche,Family Doctor / G.P.,4.52,7,"Dr. Felstead is awesome! The practice is Christian based as are many doctors of Osteopathy (DO). Staff is overstressed, so don't call on Tuesdays or Thursdays, but I still highly recommend him. He's fairly laid back though so if you have a serious ongoing problem you have to really emphasize what is bothering you and ask lots of questions. He gives as much time as you need. The nurse practitioners are good too, but Dr. Felstead is the best, I've seen him for years. Its rare to find a good family doctor in WNY these days. Worth the wait! :-)",3.00
52,Dr. Bertrand P. Roche,Family Doctor / G.P.,4.52,7,I really. Liked Dr Felstead..wish I could still see him...his staff was always very rude..and since second office opened too many problems ..they caused severe stress and raised my blood pressure on phone,1.00
53,Dr. Bertrand P. Roche,Family Doctor / G.P.,4.52,7,Dr. Felstead is an Outstanding Doctor who really takes the time and cares!,5.00
54,Dr. Bertrand P. Roche,Family Doctor / G.P.,4.52,7,World class physician - staff takes time and care to get to exact problem,5.00
55,Dr. Bertrand P. Roche,Family Doctor / G.P.,4.52,7,"I had  been going to Dr. Felstead for years, had a chronic illness that he pretty much chalked up to stress.   Spent four years on and off drugs for different things.  Got fed up with the office switch""We can't put you in with your regular Doctor, can you see an intern?...""  and went to someone else.  In one office visit and blood work, had it daignosed and treated.   I waited for that for four years.   Way to long......",2.75
56,Dr. Bertrand P. Roche,Family Doctor / G.P.,4.52,7,"I have treated with Dr. Felstead for more than a decade and always found him to be the consummate professional. He is a very concerned and caring physician, runs a tight ship, and always there. He will return a phone call, never rush you out of an office visit, and follows up consistently and thoroughly. Definitely the man! I highly recommend him and the practice as a whole (where my entire family goes).",5.00
57,Dr. Bertrand P. Roche,Family Doctor / G.P.,4.52,7,"I went to Dr. Felstead after having my first baby, was having extreme depression and anxiety. I told Dr. Felstead of all my issues, including insomnia, panic attacks, fear of death..ect. Dr. Felstead told me that I needed to have a relationship with God and all my fears would go away. He even gave me the address to his wife's group that get together at there church to talk about children. I was very angry and disappointed that a ""DR"" would give me religious advise and send me on my way. I'm thankful I saw another Dr. soon after who listened to me and prescibed a medication. He needs to keep medicine and Religion seperate. I'm lucky I'm healthy and my child is too.",2.00
58,Dr. Bertrand P. Roche,Family Doctor / G.P.,4.52,7,"my entire family goes to dr felstead, he's been my primary care physician for a long time, he's a great doctor, friendly, caring, listens and never makes you feel like he's rushing to get to the next patient. keep up the good work.",4.75
59,Dr. Bertrand P. Roche,Family Doctor / G.P.,4.52,7,I really like Dr. Felstead and I feel he is excellent doctor. He listens and takes time to be with you.,5.00
60,Dr. Bertrand P. Roche,Family Doctor / G.P.,4.52,7,Our entire family goes to Dr. Felstead.  He truly cares about his patients and is an excellent doctor.,4.25
61,Dr. Bertrand P. Roche,Family Doctor / G.P.,4.52,7,Great doctor who actually cares. He takes time to listen and answer any questions one may have. Very thorough in medical care.,5.00
62,Dr. Bertrand P. Roche,Family Doctor / G.P.,4.52,7,An ecellent physician who cares about his patients and provides open honest treatments and suggestions.,5.00
63,Dr. Bertrand P. Roche,Family Doctor / G.P.,4.52,7,I was the patient of Dr.Ingrid Arnold for 20 years. I moved out of states and was nervous about choosing a new doctor. I couldnt ask for a better doctor than Dr.Felstead!,5.00
64,Dr. Bertrand P. Roche,Family Doctor / G.P.,4.52,7,an absolute amazing doctor. he cares about the well being of his patients,5.00
65,Dr. Bertrand P. Roche,Family Doctor / G.P.,4.52,7,"Horrible experience with this office.   IF you can get an appointment with Dr. K. he's great, but good luck. I 've been blown off several times for something I feel is serious. Can never get an appointment and when you can finally get through to make an appointment, they try to pass you off to a physicians assistant or give you a phone number for a specialist instead of actually trying to see you.   Absolutely unacceptable.
",1.25
66,Dr. Bertrand P. Roche,Family Doctor / G.P.,4.52,7,"My treatment by Dr K has been wonderful; his staff very kind. I recommend him highly. Knowledgeable, confident, caring, kind, compassionate. Using the patient portal has gotten prompt responses and help from the kind staff. ",4.50
67,Dr. Bertrand P. Roche,Family Doctor / G.P.,4.52,7,Staff sucks very rude never answers phone unbelievable ,4.00
68,Dr. Bertrand P. Roche,Family Doctor / G.P.,4.52,7,"Dr. Karaszewski is a very good doctor, but his office staff is absolutely incompetent.  A history of non-returned calls (or multiple calls to do what should have taken one call) and billing mistakes have me looking elsewhere.  ",2.75
69,Dr. Bertrand P. Roche,Family Doctor / G.P.,4.52,7,A true professional to say the least.....is reasonable and easy to talk to.,5.00
70,Dr. Bertrand P. Roche,Family Doctor / G.P.,4.52,7,Dr K is an awesome doctor. He doesnt treat you like a number and genuinely cares about you!  I tell everyone to go to him!,5.00
71,Dr. Bertrand P. Roche,Family Doctor / G.P.,4.52,7,"The staff at his office was rude, condescending and scheduling an appointment was nearly impossible. I have made 5 calls in two days and the answering machine picks up every time and the staff rarely calls back.",1.25
72,Dr. Bertrand P. Roche,Family Doctor / G.P.,4.52,7,This doctor is a doctor's doctor. Meaning that he is one who other doctors choose as a physician. I recommend him highly to everyone.,5.00
73,Dr. Bertrand P. Roche,Family Doctor / G.P.,4.52,7,"Whenever we need Dr Karaszewski he always calls back and addresses any issue our family may have, he is a very good physician.",4.00
74,Dr. Bertrand P. Roche,Family Doctor / G.P.,4.52,7,I've been with his practice for many years and have always been very satisfied.,5.00
75,Dr. Bertrand P. Roche,Family Doctor / G.P.,4.52,7,He was very knowledgeable.Asked many questions to get a well rounded feel for what was wrong. I'm glad my wife and I go to him. Staff seems very quick to refer you to an emergency room or an immediate care facility versus getting you in the office within the week. Lets end on a positive note. He has a great memory and I feel well taken care of when I leave.,4.00
76,Dr. Bertrand P. Roche,Family Doctor / G.P.,4.52,7,Is not punctual in getting test results back to patient. Does not remind patients to get required blood test for cholesterol every 4-6 months...even though patient had painful indications in hips/legs. Unnecessary tests taken when cholesterol medication change was apparently needed - problem corrected. Patient brought the question to the doctor regarding medication change.,3.25
77,Dr. Bertrand P. Roche,Family Doctor / G.P.,4.52,7,"I have been a patient of Dr. Liu-Chen’s for over 10 years. I have family members who are patients of hers as well. I was surprised to read some of the criticisms below.  She is obviously busy but has never been “pushy” and spends as much time as one needs. She is highly intelligent, her knowledge is current and she is an excellent diagnostician. While she does speak rapidly with a mild accent, she is fluid in the English language and I have never had a problem understanding her.  In addition, and just as importantly, she is caring and compassionate. I have also emailed her on occasion and have always had a timely response.  As an RN with over 35 years of experience with many physicians and health care providers, Dr. Liu-Chen is one of the best.",4.75
78,Dr. Bertrand P. Roche,Family Doctor / G.P.,4.52,7,Rushed. Poor English skills. Probably very smart but too mechanical. ,2.75
79,Dr. Bertrand P. Roche,Family Doctor / G.P.,4.52,7,An excellent physician. Thorough and considerate. Knowledgeable and caring. ,5.00
80,Dr. Bertrand P. Roche,Family Doctor / G.P.,4.52,7,"So pushy she wants everything to be done the way she likes. When your insurance is not accepted by the referral doctor she get annoyed and has the nerve to tell you that you make her do more paper work. She loves to talk off topic a lot that she invade your  personal life than focusing on medical issues.  When she speaks her medical plan you feel that she opened her brain manual and mark check in everything  without listening to you.  I believed she is a great doctor and I had to stuck with her because I couldn't find another primary care within 2 months. Also, She a really bad listener that I rather see her physician assistant Carolyne who helped me figure things out. ",3.00
81,Dr. Bertrand P. Roche,Family Doctor / G.P.,4.52,7,"Met with her as a new patient. She was not respectful to the fact that my ""personal"" life is the result of choice and not a chemical imbalance. Focused so much on that topic that ultimately, the appointment (a routine physical) became emotionally invasive rather than medically helpful. Unfortunate because I want to believe she is a good doctor and maybe is for other people, but my experience was uncomfortable and made me doubtful that my health is at the forefront of her mind.    ",3.00
82,Dr. Bertrand P. Roche,Family Doctor / G.P.,4.52,7,Speaks poor English.  Did not listen to my concerns.  Not good with result follow up,1.50
83,Dr. Bertrand P. Roche,Family Doctor / G.P.,4.52,7,"She is always very patience. On every visit, she spends enough time to answer all of my questions/concerns and gives excellent advice on my health issues. The staff in her office are also very friendly and supportive.",5.00
84,Dr. Bertrand P. Roche,Family Doctor / G.P.,4.52,7,Brilliant! Listens intently and treats effectively,5.00
85,Dr. Bertrand P. Roche,Family Doctor / G.P.,4.52,7,Extremely impressed from the second I walked in the door with no wait time he has tremendous knowledge and great bedside table.,5.00
86,Dr. Bertrand P. Roche,Family Doctor / G.P.,4.52,7,I have been seeing Dr. Slater for a few years now.  He is the best family doctor we have ever had.  He is very prompt...little to no waiting time.  He is very friendly and follows up as needed.,5.00
87,Dr. Bertrand P. Roche,Family Doctor / G.P.,4.52,7,"Great doctor--attentive, smart, compassionate. He puts up with alot of nonsense from drug seekers and handles this in stride. One of the best doctors I ever had!",5.00
88,Dr. Bertrand P. Roche,Family Doctor / G.P.,4.52,7,"I had some X-rays done recently from a Hospital. The doctor never once discussed in person or called me, to let me know what my x-ray results were.  I'm not sure about others, but I like to be kept informed about all of my results - good or bad.  I thought a doctor and patient is suppose to have open and an excellent communication.  I can't remember everything as for reminding the doctor during my routine check up, their the one's with my chart right in front of them.  That's why I'm listing this score, so others will know if they really want to have this physican as their doctor.  Good luck with your physican hunt.",2.25
89,Dr. Bertrand P. Roche,Family Doctor / G.P.,4.52,7,"Following Dr. Jordan to his new location at BMG.  He puts you at ease, is very knowledgeable, caring, and considerate.  It's too bad Lifetime Health closed, but at least I'm fortunate enough to still have this tremendous physician.  Buffalo Medical Group is even closer for me, too!",5.00
90,Dr. Bertrand P. Roche,Family Doctor / G.P.,4.52,7,"This doctor is outstanding.  He has never treated me or my family with anything other than the utmost respect.  He is very caring and approaches his patient care as an old time doctor would - like a member of the family or smaller community.  He is extremely knowledgeable.  There hasn't been a question he hasn't been able to answer in detail.  I check his answers afterward!  He takes my questions and concerns seriously and works on a care plan WITH me and not just FOR me.  If he moves out of the area, I will have to move too.",5.00
91,Dr. Bertrand P. Roche,Family Doctor / G.P.,4.52,7,"Excellent medical knowledge, good attitude, and timely seervices.",5.00
92,Dr. Bertrand P. Roche,Family Doctor / G.P.,4.52,7,"great bedside manner, very caring and concerned,  Good diagnostic skills, very  smart.    Office staff very efficient and helpful.",5.00
93,Dr. Bertrand P. Roche,Family Doctor / G.P.,4.52,7,"Seems to be a good, honest, knowledgeable, caring man.",5.00
94,Dr. Bertrand P. Roche,Family Doctor / G.P.,4.52,7,"wonderful caring doctor- great staff, spends time with you-never rushed.",5.00
95,Dr. Bertrand P. Roche,Family Doctor / G.P.,4.52,7,Staff can be exceptionally rude. Old fashioned ambiance. Long time in waiting room. Occasional good NP. Disappointing. ,1.50
96,Dr. Bertrand P. Roche,Family Doctor / G.P.,4.52,7,Dr. B. is a caring and competent professional.  I have great admiration for her and theNP's I have worked with.  ,3.25
97,Dr. Bertrand P. Roche,Family Doctor / G.P.,4.52,7,"I have also been a patient of Dr B's for years ... I went elsewhere a few years back, to a really bad doctor, and then came back.  I find Dr. B very thorough and caring, and she listens!  Her staff is very helpful too.",4.25
98,Dr. Bertrand P. Roche,Family Doctor / G.P.,4.52,7,"I have been going to Dr. Baldissari for about 7 years.  She is wonderful-- easy to talk to, doesn't make you feel rushed and if you have a question, answers it so you understand.  She is a very caring person and would and have recommend friends to her.  Her staff is great also--very friendly and make you feel welcome!!",4.25
99,Dr. Bertrand P. Roche,Family Doctor / G.P.,4.52,7,Very thorough doctor and a good listener. I have never felt rushed at all. I'm pretty fussy and have gone through many doctors and really like Dr. Baldassari.,5.00
100,Dr. Bertrand P. Roche,Family Doctor / G.P.,4.52,7,"I have to admit, I did not have good results with Dr B for a good year or so. It was when I was about ready to switch primary's that she kicked in full throttle. She had her own great opinions about my health and even questioned other Drs. She lead me to great referrals who have changed my life. The staff is really not the problem, either. I just have not had a great experience w/ her NP, but all in all, she has helped me as well. Give Dr B and staff a chance!!",4.75
101,Dr. Bertrand P. Roche,Family Doctor / G.P.,4.52,7,"I, disagree with all the comments regarding the Doctor or the staff.  Each and every time, I've ever had an appt. they have all been helpful and kind.  We are not talking about the same Doctor or Staff.  I always, recommend this Doctor and Staff.",5.00
102,Dr. Bertrand P. Roche,Family Doctor / G.P.,4.52,7,"I have been a patient of Dr. Baldassari for over five years now and initialli, i too, was put off by the reception/ front end staff. Must admit that they have improved greatly over the past year and a half.  The Doctor herself I have found to be knowledgeable and all too willing to listen & advise. Never have i felt rushed in the examining room, nor felt to be treated in a condescending manner. Even though i have moved further from the office, i still will continue to have her as my primary MD.",3.75
103,Dr. Bertrand P. Roche,Family Doctor / G.P.,4.52,7,"I also went to Dr. Baldassari for years and endured the long waits, the indifferent and ever-changing staff and caustic and condescending attitude of the doctor herself.  Forget about thorough exams here.  Expect to be pushed off to a specialist for anything but the most minor complaints.  When I requested my medical records be sent to my new physician, nobody even asked why.",1.00
104,Dr. Bertrand P. Roche,Family Doctor / G.P.,4.52,7,"Dr. Baldassari is a good listener and does not rush through your visit. She addresses any problems and is helpful in finding a specialist if needed. When I have called for emergency visits, I have been able to see the doctor the same, or the next day without a problem.",4.50
105,Dr. Bertrand P. Roche,Family Doctor / G.P.,4.52,7,"I went to Dr. Baldassari for years.  Her office staff has always been rude but I overlooked it as I liked her until I got very sick.  She didn't even seem to know what was wrong with me.  If fact, it was my eye doctor who I ended up going to, who knew exactly what I had.  She seemed more concerned about going on her vacation at the time than my care.  I have since found another Doctor and have not regreted switching for one second.  In fact she probably doesn't even know I haven't been back.",1.50
106,Dr. Bertrand P. Roche,Family Doctor / G.P.,4.52,7,Service is not a priority here at all. I will let all other post speak for me. Left her service and will NEVER go back. ABSOLUTE WORST!!,1.00
107,Dr. Bertrand P. Roche,Family Doctor / G.P.,4.52,7,"I too was a patient of Dr Baldassari. She is without a doubt the most abrasive and lack of caring physician I have ever been to. You feel as if you are paying her to make you sicker. Her staff is rude and crude and I feel that she must know that this is going on and does not care one bit. That says a lot for her. She also goes through PA's and NP's like most go through underweat.If you want to continue being sick, she is all you need. Glad that I switched!",1.00
108,Dr. Bertrand P. Roche,Family Doctor / G.P.,4.52,7,I changed from her service years ago.  Her staff is rude and you feel as though you are bothering them to come in .  The doctor is very harsh and also makes you feel worse than when you went in.  She would do much better if she got rid of her staff.,1.75
109,Dr. Bertrand P. Roche,Family Doctor / G.P.,4.52,7,"Dr. Baldassari needs to cut back on the number of patients she has. Her practice has become to big. On the rare ocassion I need an apointment the same day - I am always seen but made to feel that ""this is not your day to be a patient."". In fact, two different times a staffer has said ""We're really to busy for this today."" The last time, the doctor herself said it to me! I will be changing doctors.",3.50
110,Dr. Bertrand P. Roche,Family Doctor / G.P.,4.52,7,"Despite believing her to be abrasive, I have been confident with Dr. Baldassari as my primary care physician.  However, after my wife saw her for the first time my attitude changed. Her family history was demoralized and she was spoken to with complete disregard for the fact that she was a human-being.  Also, the entire staff is notorious for making you feel as though you're an utter inconvenience... and my wife's experience has more than confirmed this notion.",2.25
111,Dr. Bertrand P. Roche,Family Doctor / G.P.,4.52,7,Dr. Baldassari is very thorough (with hearing testing and ekg)and I have also found that she is very easy to talk to and very direct. Dr. Baldassari explains things in a way I understand and always tell me what is being done.,4.25
112,Dr. Bertrand P. Roche,Family Doctor / G.P.,4.52,7,"This office seems to suffer from a bad case of ""indifference"" or apathy to their obvious mission. The wait times are awful; the staff seems harried and stressed. In my experience I have seen numerous staff changes, and I finally decided to shop elsewhere. I witnessed Med Sales persons arrive and get in to see Doctor immediately, while I wait another 45 minutes to get to wait another 15 in an exam room. All toll the average 15 minutes appointment requires an hour wait time pass the scheduled appointment time. The entire office seems cold and aloof, and not interested in my thoughts about my treatments. A few times a long standing appointment would be changed with a few days notice. Getting her on the phone to straighten out an RX problem took 2 days.",2.00
113,Dr. Bertrand P. Roche,Family Doctor / G.P.,4.52,7,This lady and her staff especially are not very helpful. They blow you off and don't seem to care about your problems. The wait is at least an hour in the waiting room alone. The office staff is not the greatest and everytime I've called they always make me call back in an hour or more.,3.00
114,Dr. Bertrand P. Roche,Family Doctor / G.P.,4.52,7,"Excellent physician. Kind, caring, generous with his time and treats everyone as an individual. All doctors should be like him!",5.00
115,Dr. Bertrand P. Roche,Family Doctor / G.P.,4.52,7,"Dr. Rados is very informed of my conditions and does not have to go back through the file whenever i see him. He give deep thought into my treatments. I have never had a problem with him personally, but I do wish he would go into his own practice because the clinic wait is sometimes 2 hours.",3.25
116,Dr. Bertrand P. Roche,Family Doctor / G.P.,4.52,7,"Dr. Rados is one of the nicest Dr's I have ever had.  He takes his time with everyone, which is why I gave him a ""4"" instead of a ""5"" for ""punctuality"" He does not rush you, he asks questions, and he answers questions, and he had always made it a point to try and see me if I am there, even as a walk-in.  His staff is courteous and pleasant and always willing to work with you, and answer questions.",4.75
117,Dr. Bertrand P. Roche,Family Doctor / G.P.,4.52,7,"This doctor has terrible bedside manner. If you want somebody rude, go to him.",1.75
118,Dr. Bertrand P. Roche,Family Doctor / G.P.,4.52,7,Dr Trock attentive very knowledgeable completely  satisfied for over ten years.,5.00
